#TYPE Selected.Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSProviderFeature
"ProviderNameSpace","ProviderName","FeatureName","RegistrationState"
"Microsoft Cognitive Services","Microsoft.CognitiveServices","CommitmentTierDCTier1-FormRecognizer","NotRegistered"
"Microsoft Cognitive Services","Microsoft.CognitiveServices","CommitmentTierDCTier23-FormRecognizer","NotRegistered"
"Microsoft Cognitive Services","Microsoft.CognitiveServices","CommitmentTierDCTier4-FormRecognizer","NotRegistered"
"Microsoft Cognitive Services","Microsoft.CognitiveServices","CommitmentTierDCTier1-LUIS","NotRegistered"
"Microsoft Cognitive Services","Microsoft.CognitiveServices","CommitmentTierDCTier23-LUIS","NotRegistered"
"Microsoft Cognitive Services","Microsoft.CognitiveServices","CommitmentTierDCTier4-LUIS","NotRegistered"
"Microsoft Cognitive Services","Microsoft.CognitiveServices","CommitmentTierDCTier1-TA","NotRegistered"
"Microsoft Cognitive Services","Microsoft.CognitiveServices","CommitmentTierDCTier23-TA","NotRegistered"
"Microsoft Cognitive Services","Microsoft.CognitiveServices","CommitmentTierDCTier4-TA","NotRegistered"
"Microsoft Cognitive Services","Microsoft.CognitiveServices","CommitmentTierDCTier1-Translator","NotRegistered"
"Microsoft Cognitive Services","Microsoft.CognitiveServices","CommitmentTierDCTier2-Translator","NotRegistered"
"Microsoft Cognitive Services","Microsoft.CognitiveServices","CommitmentTierDCTier34-Translator","NotRegistered"
"Microsoft Compute","Microsoft.Compute","CASv3PolicyCheck","NotRegistered"
"Microsoft.HybridNetwork","Microsoft.HybridNetwork","ASECreateMecRoleEnabled","NotRegistered"
"Microsoft Network","Microsoft.Network","EnableApplicationGatewayNetworkIsolation","NotRegistered"
"Microsoft Network","Microsoft.Network","AuxiliaryMaxConnectionsModeEnabled","NotRegistered"
"Microsoft Network","Microsoft.Network","AuxiliaryFloatingModeEnabled","NotRegistered"
"Azure Data Box","Microsoft.DataBox","EnableCustomerDiskSku_Europe","NotRegistered"
"Azure Data Box","Microsoft.DataBox","CustomerDiskAccess_Europe","NotRegistered"
"Azure Data Box","Microsoft.DataBox","CustomerDiskAccess_UK","NotRegistered"
"Microsoft.AVS","Microsoft.AVS","scriptingPreview","NotRegistered"
"Microsoft Storage","Microsoft.Storage","AllowRegularPremiumPageBlobOnEdgeZone","NotRegistered"
"Microsoft.Cdn","Microsoft.Cdn","EnableTaskService","NotRegistered"
"Microsoft Compute","Microsoft.Compute","AllowAADAuthForDataAccess","NotRegistered"
"Microsoft Security","Microsoft.Security","AttackPaths","NotRegistered"
"Microsoft Security","Microsoft.Security","OrionStage","NotRegistered"
"Microsoft Storage","Microsoft.Storage","ArchivePolicyAffinityID","NotRegistered"
"Microsoft Storage","Microsoft.Storage","ArchivePolicyRehdyrateDelayInMinutes","NotRegistered"
"Microsoft Storage","Microsoft.Storage","ArchivePolicyMinimumArchiveSize","NotRegistered"
"Microsoft Storage","Microsoft.Storage","ArchivePolicyPropertiesCompanyMetUK","NotRegistered"
"Microsoft Storage","Microsoft.Storage","ArchivePolicyPropertiesTapeZonality","NotRegistered"
"Microsoft.TestBase","microsoft.testbase","API20211201","NotRegistered"
"-","Microsoft.StorSimple","ShowBannerForDeviceUpdate52","NotRegistered"
"Microsoft.IoTFirmwareDefense","Microsoft.IoTFirmwareDefense","AccessControl","NotRegistered"
"Microsoft Azure Monitor","Microsoft.Insights","GraphDeprecation","NotRegistered"
"Microsoft Kubernetes Configuration","Microsoft.KubernetesConfiguration","ExtensionTypes","NotRegistered"
"Microsoft.Confluent","Microsoft.Confluent","DataMigrationCleanup","NotRegistered"
"Microsoft Network","Microsoft.Network","DisableAZFWSubnetPermissionCheck","NotRegistered"
"Microsoft Network","Microsoft.Network","EnableAZFWSubnetPermissionCheck","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBforPostgreSQL","migrations","NotRegistered"
"Microsoft Storage","Microsoft.Storage","BaltimoreCA","NotRegistered"
"Microsoft Network","Microsoft.Network","TruncateCollectionsOnNRPGetVnet","NotRegistered"
"Microsoft.NetApp Resource Provider","Microsoft.NetApp","ANFReestablishReplication","NotRegistered"
"Microsoft.Cdn","Microsoft.Cdn","EnableDTF","NotRegistered"
"Microsoft.NetApp Resource Provider","Microsoft.NetApp","ANFEnableVolumeUserGroupQuota","NotRegistered"
"Microsoft Network","Microsoft.Network","AllowAdminRulesOnNipBasedServices","NotRegistered"
"Microsoft Cognitive Services","Microsoft.CognitiveServices","openAINewModel","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","hidePgCfsEventInfobox","NotRegistered"
