ProviderNamespace                                            Operation                                                                                            OperationName                                                                                        IsDataAction
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/services/exporterrors/read                                           Gets the export errors for a given sync service.                                                     False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/services/exportstatus/read                                           Gets the export status for a given service.                                                          False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/services/feedbacktype/feedback/read                                  Gets alerts feedback.                                                                                False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/services/ipAddressAggregates/read                                    Reads ipAddressAggregates.                                                                           False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/services/ipAddressAggregateSettings/read                             Reads ipAddressAggregateSettings.                                                                    False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/services/ipAddressAggregateSettings/write                            Writes ipAddressAggregateSettings.                                                                   False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/services/metricmetadata/read                                         Gets the list of supported metrics for a given service.                                              False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/services/metrics/groups/average/read                                 Gets average view for metrics and performance data.                                                  False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/services/metrics/groups/read                                         Gets information about different service metrics.                                                    False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/services/metrics/groups/sum/read                                     Gets aggregated view for metrics and performance data.                                               False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/services/monitoringconfiguration/write                               Add or updates monitoring configuration for a service.                                               False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/services/monitoringconfigurations/read                               Gets monitoring configurations for a service                                                         False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/services/monitoringconfigurations/write                              Add or updates monitoring configurations for a service.                                              False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/services/premiumcheck/read                                           Gets onboarded services for premium tenants.                                                         False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/services/read                                                        Reads services.                                                                                      False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/services/reports/blobUris/read                                       Gets all Risky IP report URIs.                                                                       False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/services/reports/details/read                                        Gets report for bad password.                                                                        False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/services/reports/generateBlobUri/action                              Initiate generation of new risky IP report.                                                          False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/services/servicemembers/action                                       Creates a server.                                                                                    False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/services/servicemembers/alerts/read                                  Reads the server alerts.                                                                             False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/services/servicemembers/credentials/read                             Gets the credentials for service authentication.                                                     False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/services/servicemembers/datafreshness/read                           Gets the data freshness status.                                                                      False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/services/servicemembers/delete                                       Deletes server.                                                                                      False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/services/servicemembers/exportstatus/read                            Gets the Sync Export Error details.                                                                  False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/services/servicemembers/metrics/groups/read                          Gets information about different service metrics.                                                    False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/services/servicemembers/metrics/read                                 Gets the list of connectors and run profile names.                                                   False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/services/servicemembers/read                                         Reads a server.                                                                                      False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/services/servicemembers/serviceconfiguration/read                    Gets service configuration.                                                                          False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/services/tenantwhitelisting/read                                     Gets feature whitelisting status.                                                                    False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/services/write                                                       Creates a service.                                                                                   False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/unregister/action                                                    Unregisters the ADHybrid Health Service Resource Provider.                                           False
Microsoft Advisor                                            Microsoft.Advisor/advisorScore/read                                                                  Gets Advisor score                                                                                   False
Microsoft Advisor                                            Microsoft.Advisor/configurations/read                                                                Read Configurations                                                                                  False
Microsoft Advisor                                            Microsoft.Advisor/configurations/write                                                               Create/Update Configuration                                                                          False
Microsoft Advisor                                            Microsoft.Advisor/generateRecommendations/action                                                     Generate Recommendations                                                                             False
Microsoft Advisor                                            Microsoft.Advisor/generateRecommendations/read                                                       Get generate recommendations status                                                                  False
Microsoft Advisor                                            Microsoft.Advisor/metadata/read                                                                      Read Metadata                                                                                        False
Microsoft Advisor                                            Microsoft.Advisor/operations/read                                                                    Get operations                                                                                       False
Microsoft Advisor                                            Microsoft.Advisor/recommendations/available/action                                                   New recommendation is available                                                                      False
Microsoft Advisor                                            Microsoft.Advisor/recommendations/read                                                               Read recommendations                                                                                 False
Microsoft Advisor                                            Microsoft.Advisor/recommendations/suppressions/delete                                                Delete Suppression                                                                                   False
Microsoft Advisor                                            Microsoft.Advisor/recommendations/suppressions/read                                                  Read Suppressions                                                                                    False
Microsoft Advisor                                            Microsoft.Advisor/recommendations/suppressions/write                                                 Create/Update Suppressions                                                                           False
Microsoft Advisor                                            Microsoft.Advisor/register/action                                                                    Register with the Provider                                                                           False
Microsoft Advisor                                            Microsoft.Advisor/suppressions/delete                                                                Delete Suppression                                                                                   False
Microsoft Advisor                                            Microsoft.Advisor/suppressions/read                                                                  Read Suppressions                                                                                    False
Microsoft Advisor                                            Microsoft.Advisor/suppressions/write                                                                 Create/Update Suppressions                                                                           False
Microsoft Advisor                                            Microsoft.Advisor/unregister/action                                                                  Unregister with the Provider                                                                         False
Microsoft AgFoodPlatform                                     Microsoft.AgFoodPlatform/applicationData/delete                                                      Delete AgFoodPlatform application operations data resource.                                          True
Microsoft AgFoodPlatform                                     Microsoft.AgFoodPlatform/applicationData/read                                                        Get or List AgFoodPlatform application operations data resource(s).                                  True
Microsoft AgFoodPlatform                                     Microsoft.AgFoodPlatform/applicationData/write                                                       Create or Update AgFoodPlatform application operations data.                                         True
Microsoft AgFoodPlatform                                     Microsoft.AgFoodPlatform/attachments/delete                                                          Delete AgFoodPlatform attachments resource.                                                          True
Microsoft AgFoodPlatform                                     Microsoft.AgFoodPlatform/attachments/read                                                            Get or List AgFoodPlatform attachments resource(s).                                                  True
Microsoft AgFoodPlatform                                     Microsoft.AgFoodPlatform/attachments/write                                                           Create or Update AgFoodPlatform attachments.                                                         True
Microsoft AgFoodPlatform                                     Microsoft.AgFoodPlatform/boundaries/delete                                                           Delete AgFoodPlatform boundaries resource.                                                           True
Microsoft AgFoodPlatform                                     Microsoft.AgFoodPlatform/boundaries/read                                                             Get or List AgFoodPlatform boundaries resource(s).                                                   True
Microsoft AgFoodPlatform                                     Microsoft.AgFoodPlatform/boundaries/write                                                            Create or Update AgFoodPlatform boundaries.                                                          True
Microsoft AgFoodPlatform                                     Microsoft.AgFoodPlatform/crops/delete                                                                Delete AgFoodPlatform crops resource.                                                                True
Microsoft AgFoodPlatform                                     Microsoft.AgFoodPlatform/crops/read                                                                  Get or List AgFoodPlatform crops resource(s).                                                        True
Microsoft AgFoodPlatform                                     Microsoft.AgFoodPlatform/crops/write                                                                 Create or Update AgFoodPlatform crops.                                                               True
Microsoft AgFoodPlatform                                     Microsoft.AgFoodPlatform/cropVarieties/delete                                                        Delete AgFoodPlatform crop varieties resource.                                                       True
Microsoft AgFoodPlatform                                     Microsoft.AgFoodPlatform/cropVarieties/read                                                          Get or List AgFoodPlatform crop varieties resource(s).                                               True
Microsoft AgFoodPlatform                                     Microsoft.AgFoodPlatform/cropVarieties/write                                                         Create or Update AgFoodPlatform crop varieties.                                                      True
Microsoft AgFoodPlatform                                     Microsoft.AgFoodPlatform/deletionJobs/applicationDataCascadeDeleteJobs/read                          Get or List AgFoodPlatform applicationDataCascadeDeleteJobs resource(s).                             True
Microsoft AgFoodPlatform                                     Microsoft.AgFoodPlatform/deletionJobs/applicationDataCascadeDeleteJobs/write                         Create or Update AgFoodPlatform applicationDataCascadeDeleteJobs.                                    True
Microsoft AgFoodPlatform                                     Microsoft.AgFoodPlatform/deletionJobs/boundariesCascadeDeleteJobs/read                               Get or List AgFoodPlatform boundariesCascadeDeleteJobs resource(s).                                  True
