ProviderNamespace                                        ProviderName                             FeatureName
Microsoft Cognitive Services                             Microsoft.CognitiveServices              CommitmentTierDCTier1-NTTS
Microsoft Cognitive Services                             Microsoft.CognitiveServices              CommitmentTierDCTier23-NTTS
Microsoft Cognitive Services                             Microsoft.CognitiveServices              CommitmentTierDCTier4-NTTS
Microsoft Cognitive Services                             Microsoft.CognitiveServices              CommitmentTierDCTier1-FormRecognizer
Microsoft Cognitive Services                             Microsoft.CognitiveServices              CommitmentTierDCTier23-FormRecognizer
Microsoft Cognitive Services                             Microsoft.CognitiveServices              CommitmentTierDCTier4-FormRecognizer
Microsoft Cognitive Services                             Microsoft.CognitiveServices              CommitmentTierDCTier1-LUIS
Microsoft Cognitive Services                             Microsoft.CognitiveServices              CommitmentTierDCTier23-LUIS
Microsoft Cognitive Services                             Microsoft.CognitiveServices              CommitmentTierDCTier4-LUIS
Microsoft Cognitive Services                             Microsoft.CognitiveServices              CommitmentTierDCTier1-TA
Microsoft Cognitive Services                             Microsoft.CognitiveServices              CommitmentTierDCTier23-TA
Microsoft Cognitive Services                             Microsoft.CognitiveServices              CommitmentTierDCTier4-TA
Microsoft Cognitive Services                             Microsoft.CognitiveServices              CommitmentTierDCTier1-Translator
Microsoft Cognitive Services                             Microsoft.CognitiveServices              CommitmentTierDCTier2-Translator
Microsoft Cognitive Services                             Microsoft.CognitiveServices              CommitmentTierDCTier34-Translator
Microsoft Compute                                        Microsoft.Compute                        CASv3PolicyCheck
Microsoft.HybridNetwork                                  Microsoft.HybridNetwork                  ASECreateMecRoleEnabled
Microsoft Network                                        Microsoft.Network                        EnableApplicationGatewayNetworkIsolation
Microsoft Network                                        Microsoft.Network                        AuxiliaryMaxConnectionsModeEnabled
Microsoft Network                                        Microsoft.Network                        AuxiliaryFloatingModeEnabled
Azure Data Box                                           Microsoft.DataBox                        EnableCustomerDiskSku_Europe
Azure Data Box                                           Microsoft.DataBox                        CustomerDiskAccess_Europe
Azure Data Box                                           Microsoft.DataBox                        CustomerDiskAccess_UK
Microsoft.AVS                                            Microsoft.AVS                            scriptingPreview
Microsoft Storage                                        Microsoft.Storage                        AllowRegularPremiumPageBlobOnEdgeZone
Microsoft.Cdn                                            Microsoft.Cdn                            EnableTaskService
Microsoft Compute                                        Microsoft.Compute                        AllowAADAuthForDataAccess
Microsoft Security                                       Microsoft.Security                       AttackPaths
Microsoft Security                                       Microsoft.Security                       OrionStage
Microsoft Storage                                        Microsoft.Storage                        ArchivePolicyAffinityID
Microsoft Storage                                        Microsoft.Storage                        ArchivePolicyRehdyrateDelayInMinutes
Microsoft Storage                                        Microsoft.Storage                        ArchivePolicyMinimumArchiveSize
Microsoft Storage                                        Microsoft.Storage                        ArchivePolicyPropertiesCompanyMetUK
Microsoft Storage                                        Microsoft.Storage                        ArchivePolicyPropertiesTapeZonality
-                                                        microsoft.testbase                       API20211201
-                                                        Microsoft.StorSimple                     ShowBannerForDeviceUpdate52
Microsoft.IoTFirmwareDefense                             Microsoft.IoTFirmwareDefense             AccessControl
Microsoft Azure Monitor                                  Microsoft.Insights                       GraphDeprecation
Microsoft Kubernetes Configuration                       Microsoft.KubernetesConfiguration        ExtensionTypes
Microsoft.Confluent                                      Microsoft.Confluent                      DataMigrationCleanup
Microsoft Network                                        Microsoft.Network                        DisableAZFWSubnetPermissionCheck
Microsoft Network                                        Microsoft.Network                        EnableAZFWSubnetPermissionCheck
Microsoft Storage                                        Microsoft.Storage                        BaltimoreCA
Microsoft Network                                        Microsoft.Network                        TruncateCollectionsOnNRPGetVnet
Microsoft.NetApp Resource Provider                       Microsoft.NetApp                         ANFReestablishReplication
Microsoft.Cdn                                            Microsoft.Cdn                            EnableDTF
Microsoft Network                                        Microsoft.Network                        AllowAdminRulesOnNipBasedServices
Microsoft Cognitive Services                             Microsoft.CognitiveServices              openAINewModel
Microsoft DB for PostgreSQL                              Microsoft.DBForPostgreSQL                hidePgCfsEventInfobox
Microsoft DB for MySQL                                   Microsoft.DBForMySQL                     flexibleServerDatabases
-                                                        Microsoft.SecurityDevOps                 DfdGitHubConnector
Microsoft Network                                        Microsoft.Network                        EnableApplicationGatewaySubnetPermissionCheck
Microsoft Network                                        Microsoft.Network                        AllowDeleteAddressPrefixesOnSubnet
Microsoft Container Service                              microsoft.ContainerService               PreviewGuardRails
Microsoft Container Service                              microsoft.ContainerService               CapacityReservationGroupPreview
Microsoft Container Instance                             Microsoft.ContainerInstance              spotPriorityContainerGroup
Microsoft Web Apps                                       Microsoft.Web                            ASEPrivateLinkHost
Microsoft.Kusto                                          Microsoft.Kusto                          UseComputeSubscriptionAMD
Microsoft DB for MySQL                                   Microsoft.DBForMySQL                     haServerAdditionalIOPs
Microsoft Cognitive Services                             Microsoft.CognitiveServices              openAI1PFtModel
Microsoft Cognitive Services                             Microsoft.CognitiveServices              Container.TA.IssueResolutionSummarization
Microsoft.Cdn                                            Microsoft.Cdn                            Region-Route-MWH
Microsoft.Cdn                                            Microsoft.Cdn                            Region-Route-CDM
Microsoft.Cdn                                            Microsoft.Cdn                            Region-Route-BY1
Microsoft.Cdn                                            Microsoft.Cdn                            Region-Route-DM1
Microsoft.Cdn                                            Microsoft.Cdn                            Region-Route-SN6
Microsoft.Cdn                                            Microsoft.Cdn                            Region-Route-DB3
Microsoft.Cdn                                            Microsoft.Cdn                            Region-Route-AM5
Microsoft.Cdn                                            Microsoft.Cdn                            Region-Route-HKN
Microsoft.Cdn                                            Microsoft.Cdn                            Region-Route-BL2
Microsoft DB for PostgreSQL                              Microsoft.DBForPostgreSQL                marlinWorkbooks
Microsoft.LoadTestService                                Microsoft.LoadTestService                DeprecatedAPIVersion
Microsoft Compute                                        Microsoft.Compute                        InGuestAutoPatchVmssUniformPreview
Microsoft.DataProtection                                 Microsoft.DataProtection                 BlobVaultedBackup
Microsoft Network                                        Microsoft.Network                        EnableApplicationGatewayTlsProxyBackendHealth
Microsoft DocumentDB                                     Microsoft.DocumentDb                     MongoTest
Microsoft Compute                                        Microsoft.Compute                        AHBEnabledForPAYG
Microsoft Container Service                              microsoft.ContainerService               ManagedClusterSnapshotPreview
Microsoft.AzureArcData                                   Microsoft.AzureArcData                   ArcDataActiveDirectory
Microsoft Managed Identity                               Microsoft.ManagedIdentity                FederatedIdentityCredentials
Microsoft Storage                                        Microsoft.Storage                        PremiumFilesFirstTierWithBurstSettings
Microsoft Event Grid                                     Microsoft.eventgrid                      BypassPartnerAuthorizationFeature
Microsoft DB for PostgreSQL                              Microsoft.DBForPostgreSQL                enableMoveLinks
Microsoft DB for MySQL                                   Microsoft.DBForMySQL                     enableMoveLinks
Microsoft DB for PostgreSQL                              Microsoft.DBForPostgreSQL                enableMarlinLogs
Microsoft DB for PostgreSQL                              Microsoft.DBForPostgreSQL                offlineMigrations
Microsoft.AVS                                            Microsoft.AVS                            smartSwitchConfigExperience
Microsoft Databricks                                     Microsoft.Databricks                     EnableAccessConnectorPreview
Microsoft DB for MySQL                                   Microsoft.DBForMySQL                     enableSameZoneHA
Microsoft IoT Security                                   Microsoft.IotSecurity                    PrivatePreviewParticipation
Microsoft Storage                                        Microsoft.Storage                        AllowPremiumBlockBlobsInMicroRegions
